number,text,repo,lnum,filename,commit,stargazers,pull_request,reason,notes
C0200,Consider using enumerate instead of iterating with range and len,lengstrom/fast-style-transfer,138,evaluate.py,0d3d981f7ab948253d355585bdbdfa914247b4d0,10113,https://github.com/lengstrom/fast-style-transfer/pull/276,,
C0200,Consider using enumerate instead of iterating with range and len,facebookresearch/detr,169,test_all.py,b9048ebe86561594f1472139ec42327f00aba699,7658,https://github.com/facebookresearch/detr/pull/454,accepted,
C0200,Consider using enumerate instead of iterating with range and len,luyishisi/Anti-Anti-Spider,115,make_sample.py,dd9ed296fdf9e7efa7eaf4ef9b5eef52b5f7f864,6844,https://github.com/luyishisi/Anti-Anti-Spider/pull/38,,
C0200,Consider using enumerate instead of iterating with range and len,xuebinqin/U-2-Net,160,u2net_portrait_demo.py,d3da56874265b1853beff6ff8ddae891c1ae262b,4929,https://github.com/xuebinqin/U-2-Net/pull/264,,
C0200,Consider using enumerate instead of iterating with range and len,stewartmcgown/uds,351,uds.py,131994a3ac5ac9f61621b4009ec6eb9f918301d7,4201,https://github.com/stewartmcgown/uds/pull/115,,
C0200,Consider using enumerate instead of iterating with range and len,thunil/TecoGAN,75,runGan.py,bc747a4651c1e08bd0a73bed08c4cb9fac99b4d5,3866,https://github.com/thunil/TecoGAN/pull/118,,
C0200,Consider using enumerate instead of iterating with range and len,wbt5/real-url,53,sports_iqiyi.py,9709ef485f348f9c1424d7d3ba3a7699ef695bc9,3407,https://github.com/wbt5/real-url/pull/279,denied,
C0200,Consider using enumerate instead of iterating with range and len,kennethreitz/records,427,records.py,0e2d186857f16686139c20be10a1f70a689c9ea0,6709,https://github.com/kennethreitz/records/pull/215,,
C0200,Consider using enumerate instead of iterating with range and len,StevenBlack/hosts,1608,testUpdateHostsFile.py,0c702e4b7707741d97cccc2ff83f2aa75d52781f,18880,https://github.com/StevenBlack/hosts/pull/1795,accepted,
R1714,"Consider merging these comparisons with ""in"" to ""marker_expr not in ('unit', '')""",facebookresearch/ParlAI,92,conftest.py,e3f0766097c376c11c12686e2b16bb5cfcc6ac17,8342,https://github.com/facebookresearch/ParlAI/pull/4094,accepted,
R1714,"Consider merging these comparisons with ""in"" to 'pages in (page, 0)'",aristocratos/bpytop,4810,bpytop.py,eb50a02028c6bd2daef08ec4dd941c2ab70557cb,7598,https://github.com/aristocratos/bpytop/pull/358,accepted,
R1714,"Consider merging these comparisons with ""in"" to ""os_type in ('FreeBSD', 'OpenBSD')""",persepolisdm/persepolis,34,uninstall.py,7ce2d579f8ffa40a9e899ecc304bcea4f94bf195,5110,https://github.com/persepolisdm/persepolis/pull/889,,
R1714,"Consider merging these comparisons with ""in"" to ""item in ('[CLS]', '[SEP]')""",Morizeyao/GPT2-Chinese,174,generate_texts.py,bbb44651be8361faef35d2a857451d231b5ebe14,4346,https://github.com/Morizeyao/GPT2-Chinese/pull/230,,
R1714,"Consider merging these comparisons with ""in"" to 'mode in (tf.estimator.ModeKeys.TRAIN, tf.estimator.ModeKeys.EVAL)'",EleutherAI/gpt-neo,138,model_fns.py,7fbd31be724aefd5e59b4eca2e5dd3416b7b97eb,5692,https://github.com/EleutherAI/gpt-neo/pull/252,accepted,
R1714,"Consider merging these comparisons with ""in"" to 'join_type in (JOIN.LATERAL, JOIN.LEFT_LATERAL)'",coleifer/peewee,7149,peewee.py,43609aba7270ec94d1138fcdca2dfe62cab912c5,8635,https://github.com/coleifer/peewee/pull/2477,denied,
R1714,"Consider merging these comparisons with ""in"" to ""billModel in ('', '通用OCR')""",chineseocr/chineseocr,175,app.py,306fb71f7e843183fcb9a8025638e8045a5dfa0c,4422,https://github.com/chineseocr/chineseocr/pull/539,,
R1714,"Consider merging these comparisons with ""in"" to ""eaw in ('W', 'F')""",kovidgoyal/kitty,233,gen-wcwidth.py,855681200f81f31fd29b74405b15a5cb6cf4908d,12339,https://github.com/kovidgoyal/kitty/pull/4153,accepted,
R1714,"Consider merging these comparisons with ""in"" to ""x in ('', '0')""",skywind3000/ECDICT,1789,stardict.py,61e71e9384e45358a905e7d08f9d81d6e7f4cb36,2944,https://github.com/skywind3000/ECDICT/pull/84,accepted,
R1714,"Consider merging these comparisons with ""in"" to 'COLOR_SYSTEM_DEFAULT not in (self.ButtonColor, self.ButtonColor[0])'",PySimpleGUI/PySimpleGUI,4040,PySimpleGUI.py,433c4a4f685f4c2d409391bba6f1d2431e9f41d9,8488,https://github.com/PySimpleGUI/PySimpleGUI/pull/4872,denied due to internal policy,
R1732,Consider using 'with' for resource-allocating operations,sympy/sympy,38,conftest.py,8adce77a29fe61c5eda0319d79638b66917b5295,8480,https://github.com/sympy/sympy/pull/22410,accepted,
R1732,Consider using 'with' for resource-allocating operations,apache/tvm,129,version.py,44549e623433dd10d9e97e442ef529fb44c46c14,7214,https://github.com/apache/tvm/pull/9435,accepted,
R1732,Consider using 'with' for resource-allocating operations,gelstudios/gitfiti,255,gitfiti.py,82d695183c40cac28d4f12cb208187d6ca2f6d75,6648,https://github.com/gelstudios/gitfiti/pull/86,,
R1732,Consider using 'with' for resource-allocating operations,seatgeek/fuzzywuzzy,10,benchmarks.py,af443f918eebbccff840b86fa606ac150563f466,8521,https://github.com/seatgeek/fuzzywuzzy/pull/326,,
R1732,Consider using 'with' for resource-allocating operations,bokeh/bokeh,1144,versioneer.py,22fd44b2725cb2dd3a53b6eed04bc8d93757351c,15595,https://github.com/bokeh/bokeh/pull/11748,accepted,
R1732,Consider using 'with' for resource-allocating operations,microsoft/cascadia-code,575,build.py,f91d08f703ee61cf4ae936b9700ca974de2748fe,17999,https://github.com/microsoft/cascadia-code/pull/584,accepted,
R1732,Consider using 'with' for resource-allocating operations,pandas-dev/pandas,1171,versioneer.py,d30aeeba0c79fb8e4b651a8f528e87c3de8cb898,31282,https://github.com/pandas-dev/pandas/pull/44047,denied due to internal policy,
W0102,Dangerous default value [] as argument,elceef/dnstwist,194,dnstwist.py,35eff26e572e63a21bcbf1bd9d70869bf09e7d38,3048,https://github.com/elceef/dnstwist/pull/132,denied,
W0102,Dangerous default value {} as argument,bottlepy/bottle,3926,bottle.py,71bb933649ba009cd537c2e973519d6e024c02a2,7371,https://github.com/bottlepy/bottle/pull/1355,denied,
W0102,Dangerous default value [] as argument,espressif/esptool,2044,esptool.py,e455e7dbcdfe5ff6318522594aa6e0be743b28cf,4045,https://github.com/espressif/esptool/pull/688,"denied, intended pitfall",
W0102,Dangerous default value [] as argument,tzutalin/labelImg,1603,labelImg.py,cc8fd5a703fde6ec5c6c994a07dc5368e0a4faf2,15521,https://github.com/tzutalin/labelImg/pull/809,accepted,
W0102,Dangerous default value [] as argument,geekcomputers/Python,72,tf_idf_generator.py,b49bae4a60cc027e88ecc9882a71e0ba1ad2a143,23921,https://github.com/geekcomputers/Python/pull/1407,accepted,
W0102,Dangerous default value {} as argument,aaPanel/BaoTa,561,task.py,ed89a7e22d9387f2f37350f2fb86594e71eb676c,3045,https://github.com/aaPanel/BaoTa/pull/88,,
W0102,Dangerous default value [] as argument,s3tools/s3cmd,151,run-tests.py,5db139e241fd7a4ec37be543690ee653cf1ca0d2,3723,https://github.com/s3tools/s3cmd/pull/1219,denied due to internal policy,
W0102,Dangerous default value {} as argument,cython/cython,942,runtests.py,72c18e73679fc3b74d2acd037b4de2cbfff25257,6444,https://github.com/cython/cython/pull/4435,accepted,
W0102,Dangerous default value [] as argument,n1nj4sec/pupy,312,create-workspace.py,a5d766ea81fdfe3bc2c38c9bdaf10e9b75af3b39,6624,https://github.com/n1nj4sec/pupy/pull/913,,
W0102,Dangerous default value {} as argument,smicallef/spiderfoot,2367,sflib.py,c622a6c50a468e86af79ffe9eaa5e956da5da208,6634,https://github.com/smicallef/spiderfoot/pull/1581,accepted,
W0622,Redefining built-in 'type',scipy/scipy,140,pavement.py,48e1dd7e604df3ae57d104b407c5b7a2a6a3247d,8661,https://github.com/scipy/scipy/pull/14871,accepted,
W0622,Redefining built-in 'input',lukemelas/EfficientNet-PyTorch,58,sotabench.py,7e8b0d312162f335785fb5dcfa1df29a75a1783a,6506,https://github.com/lukemelas/EfficientNet-PyTorch/pull/310,,
W0622,Redefining built-in 'eval',ultralytics/yolov5,278,val.py,4a6dfffdaa9300703d946c24833c87dace0d099c,16975,https://github.com/ultralytics/yolov5/pull/5225,accepted,
W0622,Redefining built-in 'type',python-poetry/poetry,181,install-poetry.py,46ea187a9918ed836cb1ccbca6cebc39a5320c20,16645,https://github.com/python-poetry/poetry/pull/4647,denied due to internal policy,
W0622,Redefining built-in 'dir',ipython/ipython,98,setupbase.py,a55a5b4e1ada07d2697729567a705501f6cb3d15,15013,https://github.com/ipython/ipython/pull/13212,accepted,
W0622,Redefining built-in 'sum',Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,56,detect_imgs.py,f0578bcb789a81f9e03d6c8aa999b71872f0d1a3,6077,https://github.com/lukemelas/EfficientNet-PyTorch/pull/310,,
W0622,Redefining built-in 'tuple',brightmart/text_classification,78,a08_predict_ensemble.py,ae3269dc4b0dc366c65011a6a3cca300c924d320,7089,https://github.com/brightmart/text_classification/pull/148,,
W0622,Redefining built-in 'list',wistbean/learn_python3_spider,41,meizitu.py,d7c7e35c47591b5c95bc604a4dc0015c9fc1e7c8,7969,https://github.com/wistbean/learn_python3_spider/pull/46,accepted,
W0622,Redefining built-in 'str',lauris/awesome-scala,36,add-metadata.py,3f87331cb9cbf0072bd996c6dc156142210a04d5,8155,https://github.com/lauris/awesome-scala/pull/533,accepted,
